Tarposition(deg)	position(deg)	Current(A)
0.00000000 163.53649902 0.06838168
0.00000000 163.64634705 0.06857885
0.00000000 163.81114197 0.06877105
0.00000000 163.97595215 0.06887854
0.00000000 164.25062561 0.06830359
0.00000000 164.52528381 0.06745807
0.00000000 164.90982056 0.06534505
0.00000000 165.45915222 0.06192110
0.00000000 166.06341553 0.05770894
0.00000000 166.83248901 0.05326132
0.00000000 167.49168396 0.04936707
0.00000000 168.15087891 0.04591902
0.00000000 168.70021057 0.04370949
0.00000000 169.19462585 0.04205408
0.00000000 169.57914734 0.03990781
0.00000000 169.96368408 0.03773666
0.00000000 170.51301575 0.03485742
0.00000000 171.06236267 0.03180718
0.00000000 171.55673218 0.02910738
0.00000000 172.16102600 0.02720194
0.00000000 172.60047913 0.02585384
0.00000000 173.03996277 0.02531062
0.00000000 173.42448425 0.02587731
0.00000000 173.75407410 0.02768859
0.00000000 173.97380066 0.03008955
0.00000000 174.24847412 0.03231516
0.00000000 174.46821594 0.03452851
0.00000000 174.74288940 0.03600907
0.00000000 175.07247925 0.03641180
0.00000000 175.51194763 0.03611253
0.00000000 176.00636292 0.03536735
0.00000000 176.72047424 0.03481984
0.00000000 177.21487427 0.03525343
0.00000000 177.54446411 0.03592609
0.00000000 177.92901611 0.03645398
0.00000000 178.31353760 0.03705159
0.00000000 178.64314270 0.03769983
0.00000000 178.91781616 0.03831256
0.00000000 179.13754272 0.03911264
0.00000000 179.35728455 0.03946654
0.00000000 179.52209473 0.04011773
0.00000000 179.74182129 0.04037333
0.00000000 180.07142639 0.04017971
0.00000000 180.45596313 0.03941812
0.00000000 180.89543152 0.03864618
0.00000000 181.38981628 0.03759871
0.00000000 181.88421631 0.03688649
0.00000000 182.32368469 0.03631747
0.00000000 182.76313782 0.03599573
0.00000000 183.09274292 0.03588767
0.00000000 183.42233276 0.03575673
0.00000000 183.69702148 0.03586613
0.00000000 183.91676331 0.03634146
0.00000000 184.13648987 0.03727194
0.00000000 184.30128479 0.03780258
0.00000000 184.52101135 0.03842015
0.00000000 184.68580627 0.03901370
0.00000000 184.90553284 0.03948928
0.00000000 185.18020630 0.04024966
0.00000000 185.50981140 0.04065075
0.00000000 185.89433289 0.04053133
0.00000000 186.38873291 0.03970779
0.00000000 186.88313293 0.03916996
0.00000000 187.37756348 0.03825798
0.00000000 187.87196350 0.03753785
0.00000000 188.25648499 0.03671173
0.00000000 188.64102173 0.03621650
0.00000000 188.97061157 0.03573558
0.00000000 189.24528503 0.03566892
0.00000000 189.46501160 0.03544937
0.00000000 189.68475342 0.03552313
0.00000000 190.01434326 0.03535045
0.00000000 190.34393311 0.03483177
0.00000000 190.67355347 0.03432838
0.00000000 191.05809021 0.03332071
0.00000000 191.49755859 0.03258009
0.00000000 191.93701172 0.03232539
0.00000000 192.32154846 0.03276660
0.00000000 192.70610046 0.03311664
0.00000000 192.98074341 0.03377789
0.00000000 193.25540161 0.03466167
0.00000000 193.58502197 0.03518035
0.00000000 193.80473328 0.03602108
0.00000000 194.02449036 0.03653618
0.00000000 194.24420166 0.03729084
0.00000000 194.40901184 0.03873441
0.00000000 194.57379150 0.03971200
0.00000000 194.73860168 0.04070080
0.00000000 194.90341187 0.04215708
0.00000000 195.12313843 0.04330757
0.00000000 195.34288025 0.04465126
0.00000000 195.67247009 0.04541664
0.00000000 196.11193848 0.04500042
0.00000000 196.55139160 0.04416602
0.00000000 196.99085999 0.04329548
0.00000000 197.43034363 0.04239571
0.00000000 197.75993347 0.04160370
0.00000000 198.14447021 0.04095910
