Tarposition(deg)	position(deg)	Current(A)	Tarposition2(deg)	position2(deg)	Current2(A)
240.00000000 1741.38610840 0.08315454 0.00000000 0.00000000 0.00000000
241.00000000 1767.04003906 0.08237825 0.00000000 0.00000000 0.00000000
242.00000000 1793.18835449 0.08299878 0.00000000 0.00000000 0.00000000
243.00000000 1782.20166016 0.08447011 0.00000000 0.00000000 0.00000000
244.00000000 1774.67578125 0.08751764 0.00000000 0.00000000 0.00000000
245.00000000 1748.96667480 0.08967721 0.00000000 0.00000000 0.00000000
246.00000000 1721.72021484 0.09030021 0.00000000 0.00000000 0.00000000
247.00000000 1696.28588867 0.09019134 0.00000000 0.00000000 0.00000000
248.00000000 1669.58825684 0.09129944 0.00000000 0.00000000 0.00000000
249.00000000 1644.53869629 0.09092232 0.00000000 0.00000000 0.00000000
250.00000000 1626.41076660 0.09482995 0.00000000 0.00000000 0.00000000
251.00000000 1599.82299805 0.09477454 0.00000000 0.00000000 0.00000000
252.00000000 1573.72973633 0.09412512 0.00000000 0.00000000 0.00000000
253.00000000 1549.06457520 0.09599142 0.00000000 0.00000000 0.00000000
254.00000000 1524.34460449 0.09789108 0.00000000 0.00000000 0.00000000
255.00000000 1495.50463867 0.09673113 0.00000000 0.00000000 0.00000000
256.00000000 1469.19165039 0.09503365 0.00000000 0.00000000 0.00000000
257.00000000 1443.92224121 0.09193029 0.00000000 0.00000000 0.00000000
258.00000000 1418.59802246 0.09070004 0.00000000 0.00000000 0.00000000
259.00000000 1391.07641602 0.08809748 0.00000000 0.00000000 0.00000000
260.00000000 1364.65344238 0.08304434 0.00000000 0.00000000 0.00000000
261.00000000 1338.56018066 0.08673430 0.00000000 0.00000000 0.00000000
262.00000000 1305.38049316 0.08541964 0.00000000 0.00000000 0.00000000
263.00000000 1279.06738281 0.08211051 0.00000000 0.00000000 0.00000000
264.00000000 1245.66784668 0.08142085 0.00000000 0.00000000 0.00000000
265.00000000 1221.44226074 0.07989267 0.00000000 0.00000000 0.00000000
266.00000000 1196.44763184 0.07999858 0.00000000 0.00000000 0.00000000
267.00000000 1169.42041016 0.07867624 0.00000000 0.00000000 0.00000000
268.00000000 1143.54687500 0.07721324 0.00000000 0.00000000 0.00000000
269.00000000 1117.89294434 0.07597160 0.00000000 0.00000000 0.00000000
270.00000000 1092.78845215 0.07605691 0.00000000 0.00000000 0.00000000
271.00000000 1064.49780273 0.07714331 0.00000000 0.00000000 0.00000000
272.00000000 1037.25085449 0.08526123 0.00000000 0.00000000 0.00000000
273.00000000 1004.01623535 0.08650416 0.00000000 0.00000000 0.00000000
274.00000000 978.74688721 0.08812203 0.00000000 0.00000000 0.00000000
275.00000000 950.84069824 0.09162733 0.00000000 0.00000000 0.00000000
276.00000000 925.68127441 0.09418693 0.00000000 0.00000000 0.00000000
277.00000000 890.19439697 0.09411047 0.00000000 0.00000000 0.00000000
278.00000000 863.82641602 0.09636021 0.00000000 0.00000000 0.00000000
279.00000000 838.28234863 0.09710341 0.00000000 0.00000000 0.00000000
280.00000000 810.21148682 0.09589697 0.00000000 0.00000000 0.00000000
281.00000000 780.82214355 0.09683131 0.00000000 0.00000000 0.00000000
282.00000000 752.31176758 0.09720673 0.00000000 0.00000000 0.00000000
283.00000000 727.26220703 0.09802417 0.00000000 0.00000000 0.00000000
284.00000000 702.92669678 0.10119901 0.00000000 0.00000000 0.00000000
285.00000000 671.50488281 0.12246288 0.00000000 0.00000000 0.00000000
